;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;P gina 1 de 590;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;04/01/2021  07:00:00 ;;
;;;;;Fluxo das Liga‡äes;;;;;;;;;;Per¡odo:;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;23/12/2021  22:00:59 ;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;"Filtro customizado: Nenhum
";;;;;;;;;;;;;;;;;
;;;.;;;;;;;;;;;EmissÆo:;01/02/2023;15:06:33 ;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Liga‡äes saintes;;;Liga‡äes entrantes;;;Liga‡äes internas;;;Totais;;;;;;
Data;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Quantidade;Dura‡Æo;Custo;Quantidade;Dura‡Æo;Custo;Quantidade;Dura‡Æo;Custo;Quantidade;;Dura‡Æo;Custo;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
04/01/2021  Seg;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;07:00 - 07:59;;0;00:00:00;0,00;72;01:11:12;0,00;0;00:00:00;0,00;72;;01:11:12;0,00;;;
;;;;;;;;;;;;;;;;;;
;08:00 - 08:59;;0;00:00:00;0,00;475;10:45:06;0,00;0;00:00:00;0,00;475;;10:45:06;0,00;;;
;;;;;;;;;;;;;;;;;;
;09:00 - 09:59;;0;00:00:00;0,00;947;30:11:48;0,00;0;00:00:00;0,00;947;;30:11:48;0,00;;;
;;;;;;;;;;;;;;;;;;
;10:00 - 10:59;;0;00:00:00;0,00;1.437;45:51:24;0,00;0;00:00:00;0,00;1.437;;45:51:24;0,00;;;
;;;;;;;;;;;;;;;;;;
;11:00 - 11:59;;0;00:00:00;0,00;1.644;59:34:00;0,00;0;00:00:00;0,00;1.644;;59:34:00;0,00;;;
;;;;;;;;;;;;;;;;;;
;12:00 - 12:59;;0;00:00:00;0,00;863;36:39:42;0,00;0;00:00:00;0,00;863;;36:39:42;0,00;;;
;;;;;;;;;;;;;;;;;;
;13:00 - 13:59;;0;00:00:00;0,00;860;30:07:06;0,00;0;00:00:00;0,00;860;;30:07:06;0,00;;;
;;;;;;;;;;;;;;;;;;
;14:00 - 14:59;;0;00:00:00;0,00;954;36:57:24;0,00;0;00:00:00;0,00;954;;36:57:24;0,00;;;
;;;;;;;;;;;;;;;;;;
;15:00 - 15:59;;0;00:00:00;0,00;951;35:29:12;0,00;0;00:00:00;0,00;951;;35:29:12;0,00;;;
;;;;;;;;;;;;;;;;;;
;16:00 - 16:59;;0;00:00:00;0,00;822;23:32:00;0,00;0;00:00:00;0,00;822;;23:32:00;0,00;;;
;;;;;;;;;;;;;;;;;;
;17:00 - 17:59;;0;00:00:00;0,00;469;11:54:12;0,00;0;00:00:00;0,00;469;;11:54:12;0,00;;;
;;;;;;;;;;;;;;;;;;
